,bid_id,bid_id_header,message_timestamp,message_sender,pii_cleaned_message,Note,category,agent1_labels,agent2_labels,agent3_labels,majority_vote,union_vote,message,is_follow_up,time_since_last_message,days_since_last_message,hours_since_last_message,is_first_message,contains_regex,predicted
12976,60796536,,2017-08-11 19:20:34.795085,Customer,Hi are you still able to come out to get a bid on how much it will be?,,Carpet Installation,"{'Scheduling - Meeting or Job', 'Price', 'null_value'}","{'Scheduling - Meeting or Job', 'Price', 'null_value'}","{'Scheduling - Meeting or Job', 'Price', 'null_value'}","{'Scheduling - Meeting or Job', 'Price'}","{'Scheduling - Meeting or Job', 'Price'}",Hi are you still able to come out to get a bid on how much it will be?,0,53 days 00:22:07.868674000,53.0,1272.37,False,1,0
9664,63510324,,2017-08-26 05:09:09.504179,Pro,"Hi [PERSON_NAME],

Checking in with you to see where the band's at. Send a text on over asap and we'll figure out next steps.

Thanks again,
[PERSON_NAME]
[PHONE_NUMBER]",,Audio Recording,"{'Follow-up', 'null_value'}","{'null_value', 'Contact Information', 'Job Details'}","{'null_value', 'Follow-up', 'Contact Information'}","{'Follow-up', 'Contact Information'}","{'Job Details', 'Follow-up', 'Contact Information'}","Hi Sam,

Checking in with you to see where the band's at. Send a text on over asap and we'll figure out next steps.

Thanks again,
Bryan Lash
425.269.3838",1,32 days 00:48:26.172017000,32.0,768.81,False,1,0
12728,60445374,,2017-09-01 18:35:11.737875,Pro,Hi  I hope you going to pay me next week,,Pressure Washing,"{'null_value', 'Payment'}","{'null_value', 'Payment'}",{'null_value'},{'Payment'},{'Payment'},Hi  I hope you going to pay me next week,0,26 days 02:50:42.351003000,26.0,626.84,False,1,0
6243,59030702,,2017-07-05 13:10:56.446205,Customer,"Hi [PERSON_NAME], 
I decided to go with the entire roof replacement for this home instead of fixing it.
Did you have a price on that as well please?

Thanks,

[PERSON_NAME]",,Roof Repair or Maintenance,"{'Price', 'null_value', 'Job Details'}","{'Price', 'null_value', 'Job Details'}","{'Follow-up', 'null_value', 'Price', 'Job Details'}","{'Job Details', 'Price'}","{'Follow-up', 'Job Details', 'Price'}","Hi Mark, 
I decided to go with the entire roof replacement for this home instead of fixing it.
Did you have a price on that as well please?

Thanks,

Shari",0,45 days 18:04:48.327417000,45.0,1098.08,False,1,0
6074,58692101,,2017-06-08 16:41:41.345078,Pro,"Why did you view my quote but not look at my website or read my reviews?  Please send an email to [EMAIL_ADDRESS] telling them to refund my credits if you are not an actual potential customer.   Are you a competing DJ posing as a customer, by chance?  Don't feel bad, they have admitted it before, and I don't mind sharing my pricing and my pitches.  However, I would like to receive a refund for the credits I was charged when the bid was opened.",the job didn't pan out.,DJ,"{'Follow-up', 'null_value', 'Price'}","{'null_value', 'Price', 'Contact Information'}","{'null_value', 'Price', 'Contact Information', 'Job Details'}","{'Price', 'Contact Information'}","{'Job Details', 'Price', 'Follow-up', 'Contact Information'}","Why did you view my quote but not look at my website or read my reviews?  Please send an email to support@thumbtack.com telling them to refund my credits if you are not an actual potential customer.   Are you a competing DJ posing as a customer, by chance?  Don't feel bad, they have admitted it before, and I don't mind sharing my pricing and my pitches.  However, I would like to receive a refund for the credits I was charged when the bid was opened.",0,20 days 22:02:06.880573000,20.0,502.04,False,1,0
13019,60891573,,2017-09-20 16:44:05.972440,Customer,What's your next availability?,Quick Reply,Violin Lessons (for adults),"{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},{'Scheduling - Meeting or Job'},What's your next availability?,0,94 days 01:01:21.377379000,94.0,2257.02,False,1,0
4612,62703795,,2017-08-11 18:15:54.641270,Pro,Hey just letting you know we dropped the rate down to 30 let me know if your still interested,,Personal Training,"{'Follow-up', 'null_value', 'Price'}","{'Follow-up', 'null_value', 'Price'}","{'Follow-up', 'null_value', 'Price'}","{'Follow-up', 'Price'}","{'Follow-up', 'Price'}",Hey just letting you know we dropped the rate down to 30 let me know if your still interested,1,21 days 01:17:43.989192000,21.0,505.3,False,1,0
689,58172657,,2017-06-16 23:45:22.154598,Pro,Hey [PERSON_NAME] how are you doing,,Massage Therapy,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Hey Michelle how are you doing ,1,23 days 02:11:38.365385000,23.0,554.19,False,1,0
14201,62361138,,2017-07-28 23:03:53.891776,Customer,"Hi [PERSON_NAME],  I saw your note mentioned something about free wardrobes - does this mean you would provide wardrobe boxes?",,Long Distance Moving,"{'null_value', 'Job Details'}","{'null_value', 'Job Details'}","{'null_value', 'Job Details'}",{'Job Details'},{'Job Details'},"Hi Tom,  I saw your note mentioned something about free wardrobes - does this mean you would provide wardrobe boxes?",0,19 days 09:59:39.770462000,19.0,465.99,False,1,0
10841,58235966,,2017-09-16 13:23:13.989450,Customer,Hi [PERSON_NAME]. Strangely I never received your follow up note until I checked thumbtack today. Are you available this fall for weekend lessons?,,Violin Lessons (for children or teenagers),"{'Scheduling - Meeting or Job', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},"{'Job Details', 'Scheduling - Meeting or Job'}",Hi Reuben. Strangely I never received your follow up note until I checked thumbtack today. Are you available this fall for weekend lessons?,0,114 days 00:19:34.894015000,114.0,2736.33,False,1,0
5377,57973612,,2017-05-24 01:33:51.330981,Pro,Hey ! Just checking in to see if you found an artist for your big day ? Hope to speak with you soon ❤️,,Wedding and Event Makeup,"{'Follow-up', 'null_value'}","{'null_value', 'Job Details'}","{'Follow-up', 'null_value'}",{'Follow-up'},"{'Job Details', 'Follow-up'}",Hey ! Just checking in to see if you found an artist for your big day ? Hope to speak with you soon ❤️,1,17 days 04:43:14.564035000,17.0,412.72,False,1,1
14594,62761102,,2017-08-13 02:27:20.072243,Customer,"Hi [PERSON_NAME],

thank you for your fast response. I apologize for responding to you after so many days. I had a lot of issues which did not allow me to get back to you sooner. I liked your work; however, it is a bit over my budget. 


Best Regards,
[PERSON_NAME]",,Wedding Videography,"{'Price', 'null_value'}","{'Price', 'null_value', 'Job Details'}","{'Price', 'null_value'}",{'Price'},"{'Job Details', 'Price'}","Hi Joseph,

thank you for your fast response. I apologize for responding to you after so many days. I had a lot of issues which did not allow me to get back to you sooner. I liked your work; however, it is a bit over my budget. 


Best Regards,
Yenny Kayamba",0,30 days 14:05:24.916323000,30.0,734.09,False,1,0
13010,60888304,,2017-07-24 17:50:07.833859,Pro,"[PERSON_NAME],

I hope you are well. Please let me know if you have other questions or requests. Feel free to email us at [EMAIL_ADDRESS] or give us a call at [PHONE_NUMBER]

Thank you!",,Wedding Videography,"{'null_value', 'Contact Information'}","{'null_value', 'Contact Information', 'Job Details'}","{'null_value', 'Follow-up', 'Contact Information'}",{'Contact Information'},"{'Job Details', 'Follow-up', 'Contact Information'}","Hello Tara,

I hope you are well. Please let me know if you have other questions or requests. Feel free to email us at studiosmomento@gmail.com or give us a call at (616)264-4670

Thank you!",0,31 days 01:56:12.993968000,31.0,745.94,False,1,0
3861,61941722,,2018-07-10 18:10:23.152543,Pro,Tell ur husband to call me [PHONE_NUMBER],,Roof Repair or Maintenance,"{'Scheduling - Meeting or Job', 'null_value', 'Contact Information'}","{'null_value', 'Contact Information', 'Confirmation - Contact'}","{'null_value', 'Contact Information', 'Confirmation - Contact'}","{'Contact Information', 'Confirmation - Contact'}","{'Scheduling - Meeting or Job', 'Contact Information', 'Confirmation - Contact'}",Tell ur husband to call me 8569744333,0,372 days 02:30:18.818500000,372.0,8930.5,False,1,0
9526,63346719,,2017-09-21 16:13:17.561286,Pro,How were the travels? Are you ready for me to come take a look?,,Pest Control Services,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},How were the travels? Are you ready for me to come take a look?,1,43 days 22:41:32.694725000,43.0,1054.69,False,1,0
2618,60498142,,2017-09-04 23:49:20.538605,Pro,"Hi [PERSON_NAME] wanted to check in to see if you still need anything for your upcoming event.  Please feel free to contact me if you have any questions. 

- Steven
[LOCATION]
www.[LOCATION].com",,MC and Host Services,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Location', 'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},"{'Location', 'Scheduling - Meeting or Job', 'Follow-up'}","Hi Peter   I wanted to check in to see if you still need anything for your upcoming event.  Please feel free to contact me if you have any questions. 

- Steven
Magical Memories Entertainment
www.mme123.com",1,14 days 23:37:35.921595000,14.0,359.63,False,1,1
11758,59224805,,2017-06-18 15:04:12.700731,Pro,"Hello, 

We are just reaching out to ask how we could help and answer any questions you may have? 

Thank You for your time, 


John- Souled Out Entertainment ",,DJ,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},"Hello, 

We are just reaching out to ask how we could help and answer any questions you may have? 

Thank You for your time, 


John- Souled Out Entertainment ",1,22 days 23:24:31.932793000,22.0,551.41,False,1,0
489,57954079,,2017-07-28 08:25:33.883933,Pro,Hi [PERSON_NAME] just checking to verify your wedding booked for Saturday.,,Wedding Officiant,"{'Follow-up', 'null_value', 'Confirmation - Meeting'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'Follow-up'}","{'Confirmation - Meeting', 'Job Details', 'Scheduling - Meeting or Job', 'Follow-up'}",Hi Lucy just checking to verify your wedding booked for Saturday.,1,78 days 11:42:33.043834000,78.0,1883.71,False,1,0
8564,62057186,,2017-08-04 04:00:08.548471,Pro,"Hi [PERSON_NAME],

I'd really appreciate you taking a few minutes to write a review of my work that I can include on my Thumbtack profile. Reviews are important because they help me get new customers.

Thanks in advance!",no label,Personal Training,{'null_value'},"{'Price', 'null_value', 'Confirmation - Meeting'}",{'null_value'},set(),"{'Price', 'Confirmation - Meeting'}","Hi Aliza,

I'd really appreciate you taking a few minutes to write a review of my work that I can include on my Thumbtack profile. Reviews are important because they help me get new customers.

Thanks in advance!",0,22 days 14:57:57.003710000,22.0,542.97,False,1,0
84,48887274,,2017-07-17 18:48:43.734902,Customer,"[PERSON_NAME],  [PERSON_NAME] would like to have a trial run at cleaning his apartment. He lives at 5401 [PERSON_NAME][LOCATION] which is the Main Street Village Apt complex.  Would you have availability to do the cleaning this Thursday afternoon, anytime Friday, or anytime next Monday or next Tuesday before 10 am.  He can be reached at [PHONE_NUMBER] but he has limited time to answer his phone so don't hesitate to call me at [PHONE_NUMBER] if you are having problems contacting him.  

Thanks,
[PERSON_NAME]",,Apartment Cleaning,"{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'null_value', 'Contact Information'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'null_value', 'Contact Information'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'null_value', 'Contact Information'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'Contact Information'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'Contact Information'}","Amy,  Bill would like to have a trial run at cleaning his apartment. He lives at 5401 Sterling Drive Apt 3 Granger, IN which is the Main Street Village Apt complex.  Would you have availability to do the cleaning this Thursday afternoon, anytime Friday, or anytime next Monday or next Tuesday before 10 am.  He can be reached at 952-393-5162 but he has limited time to answer his phone so don't hesitate to call me at 484-515-6419 if you are having problems contacting him.  

Thanks,
Liz McCool",0,14 days 16:15:18.430529000,14.0,352.26,False,1,0
11492,58938940,,2017-06-07 19:17:06.124284,Pro,"[PERSON_NAME],


Are you still interested in hiring a DJ?

[PERSON_NAME]",,DJ,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},"Shayanne,


Are you still interested in hiring a DJ?

Rachel",1,20 days 01:45:24.244586000,20.0,481.76,False,1,1
1791,59645048,,2017-06-27 15:59:39.245385,Pro,"Hi, 

Just following back to see if you still interested in photographer. 

we-capture.com

You call me to schedule or go to website to book directly. 

Thank you! 

Mike ",,Aerial Photography,"{'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},"{'Scheduling - Meeting or Job', 'Follow-up'}","Hi, 

Just following back to see if you still interested in photographer. 

we-capture.com

You call me to schedule or go to website to book directly. 

Thank you! 

Mike ",1,24 days 23:42:46.453005000,24.0,599.71,False,1,0
13933,61923073,,2017-07-31 18:57:14.661765,Pro,"Hello  Nao,

Would you guys be able to come for a lesson Fridays 4:30 or Saturdays 5:00?

Sincerely,

Guy Tem",,Piano Lessons,"{'Scheduling - Meeting or Job', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}",{'Scheduling - Meeting or Job'},"{'Job Details', 'Scheduling - Meeting or Job'}","Hello  Nao,

Would you guys be able to come for a lesson Fridays 4:30 or Saturdays 5:00?

Sincerely,

Guy Tem",0,29 days 16:24:28.885025000,29.0,712.41,False,1,0
14787,63100695,,2017-09-19 02:26:13.115013,Customer,Hey! Do you have any clips I can look at?,,Wedding and Event Videography,"{'null_value', 'Job Details'}","{'null_value', 'Job Details'}","{'null_value', 'Job Details'}",{'Job Details'},{'Job Details'},Hey! Do you have any clips I can look at?,0,43 days 05:11:46.409064000,43.0,1037.2,False,1,0
6525,59335503,,2017-06-16 15:50:37.947910,Customer,Hi,,Photo Booth Rental,{'null_value'},{'null_value'},{'null_value'},set(),set(),Hi,0,15 days 20:43:35.400559000,15.0,380.73,False,1,0
8224,61473703,,2017-07-12 01:27:30.475528,Pro,Hey brother if it rains Thursday can I come paint your ceiling?,,Interior Painting,"{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Follow-up', 'null_value', 'Confirmation - Meeting', 'Hire'}",{'Scheduling - Meeting or Job'},"{'Confirmation - Meeting', 'Scheduling - Meeting or Job', 'Follow-up', 'Hire'}",Hey brother if it rains Thursday can I come paint your ceiling?,0,15 days 23:43:09.923568000,15.0,383.72,False,1,0
8979,62474405,,2017-08-14 15:58:32.764981,Customer,"[PERSON_NAME], I am ready to proceed with eliminating the squeaks in our floor. How is your availability?",,Handyman,"{'Scheduling - Meeting or Job', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Job Details', 'Scheduling - Meeting or Job'}","{'Job Details', 'Scheduling - Meeting or Job'}","Sammy, I am ready to proceed with eliminating the squeaks in our floor. How is your availability?",0,33 days 23:27:19.435898000,33.0,815.46,False,1,0
227,57602633,,2017-08-09 02:40:13.677673,Customer,"Hi [PERSON_NAME], sorry it took so long to get back to you! Would you be open to doing sessions with my fiance and I in our apartment gym in [LOCATION]? We would ideally do one session a week, around 6:30/7am during the work week. Please let me know what you think, and what something like that might cost. Thanks!!!",,Personal Training,"{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'null_value', 'Price'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'null_value', 'Price'}","{'Scheduling - Meeting or Job', 'Location', 'Price', 'null_value'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'Price'}","{'Location', 'Job Details', 'Scheduling - Meeting or Job', 'Price'}","Hi Martin, sorry it took so long to get back to you! Would you be open to doing sessions with my fiance and I in our apartment gym in Bronxville? We would ideally do one session a week, around 6:30/7am during the work week. Please let me know what you think, and what something like that might cost. Thanks!!!",0,99 days 02:46:30.707346000,99.0,2378.78,False,1,0
12402,60025205,,2017-09-08 18:46:49.276046,Pro,"[PERSON_NAME],  I hope all is well with you and your happy new bride!  I recently listed my service on Wedding.com, and I was wondering if you would not mind providing me with an excellent review.  I really appreciate it! Thanks so much!    https://www.wedding.com/review-rating.php?uid=673937                          DJ [PERSON_NAME]",,DJ,{'null_value'},{'null_value'},"{'Follow-up', 'null_value'}",set(),{'Follow-up'},"Hello Garnell,  I hope all is well with you and your happy new bride!  I recently listed my service on Wedding.com, and I was wondering if you would not mind providing me with an excellent review.  I really appreciate it! Thanks so much!    https://www.wedding.com/review-rating.php?uid=673937                          DJ Mike",0,68 days 13:20:41.705896000,68.0,1645.34,False,1,0
12262,59836489,,2017-08-30 23:10:36.965921,Customer,Hi  [PERSON_NAME]- We have a few more small projects at the house- you did such a great job last time- we wanted to know if you were available!,,Handyman,"{'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'null_value'}","{'Scheduling - Meeting or Job', 'null_value', 'Confirmation - Meeting', 'Hire'}",{'Scheduling - Meeting or Job'},"{'Confirmation - Meeting', 'Job Details', 'Scheduling - Meeting or Job', 'Hire'}",Hi  Gilbert- We have a few more small projects at the house- you did such a great job last time- we wanted to know if you were available!,0,89 days 00:44:20.970821000,89.0,2136.74,False,1,0
124,54853421,,2017-06-09 15:29:07.559914,Pro,"Good afternoon [PERSON_NAME],

Thank you very much for hiring me for your upcoming Surprise Birthday party June16th.

I just called you and left a message with my contact info.

When you get a chance email me or call me to discuss the details of the party, answer any questions and to solidify the date.

My contact info is listed below and I look forward to speaking with you [PERSON_NAME].

Thank you,

[PERSON_NAME] Event Services
[EMAIL_ADDRESS]
[PHONE_NUMBER]",,DJ,"{'Job Details', 'Hire', 'null_value', 'Contact Information', 'Confirmation - Contact'}","{'Job Details', 'Scheduling - Meeting or Job', 'Hire', 'Contact Information', 'Confirmation - Contact'}","{'Confirmation - Meeting', 'Scheduling - Meeting or Job', 'Hire', 'Contact Information', 'Confirmation - Contact'}","{'Job Details', 'Scheduling - Meeting or Job', 'Contact Information', 'Hire', 'Confirmation - Contact'}","{'Confirmation - Meeting', 'Job Details', 'Scheduling - Meeting or Job', 'Hire', 'Contact Information', 'Confirmation - Contact'}","Good afternoon Sheila,

Thank you very much for hiring me for your upcoming Surprise Birthday party June16th.

I just called you and left a message with my contact info.

When you get a chance email me or call me to discuss the details of the party, answer any questions and to solidify the date.

My contact info is listed below and I look forward to speaking with you Sheila.

Thank you,

DJ Rob
Next Event Services
robditalia@gmail.com
(508) 951-4603",0,62 days 18:53:58.531008000,62.0,1506.9,False,1,0
3895,61964483,,2018-03-04 02:25:27.724005,Pro,"[PERSON_NAME], it’s been a little while I know but just wanting to know how everything is going. I wanted get in contact with you to ask for an email to talk to you and to sent some paperwork over. My email is [EMAIL_ADDRESS] 

So if you have any questions please let me know. Thank you so much again for choosing me to videotape your special day!

MaxGeregaMultiMedia",,Wedding Videography,"{'null_value', 'Follow-up', 'Contact Information', 'Hire'}","{'null_value', 'Follow-up', 'Contact Information'}","{'null_value', 'Contact Information', 'Confirmation - Meeting', 'Hire'}","{'Follow-up', 'Contact Information', 'Hire'}","{'Confirmation - Meeting', 'Hire', 'Follow-up', 'Contact Information'}","Hello Melissa, it’s been a little while I know but just wanting to know how everything is going. I wanted get in contact with you to ask for an email to talk to you and to sent some paperwork over. My email is maxgerega@gmail.com 

So if you have any questions please let me know. Thank you so much again for choosing me to videotape your special day!

MaxGeregaMultiMedia",1,71 days 00:36:29.867358000,71.0,1704.61,False,1,0
9189,62740774,,2018-02-10 06:17:48.449592,Pro,Hi Amber! Hey can you post a review of me on Thumbtack? I really appreciate it!!,,Guitar Lessons,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}",Hi Amber! Hey can you post a review of me on Thumbtack? I really appreciate it!!,0,137 days 05:42:04.095917000,137.0,3293.7,False,1,0
11777,59307655,,2018-01-21 23:47:14.481295,Pro,Are you still having roof issues don’t wait give us a call,,Roof Repair or Maintenance,"{'null_value', 'Job Details'}","{'null_value', 'Job Details'}","{'Follow-up', 'null_value'}",{'Job Details'},"{'Follow-up', 'Job Details'}",Are you still having roof issues don’t wait give us a call,0,31 days 19:19:20.201846000,31.0,763.32,False,1,0
7274,60192947,,2017-07-17 17:28:29.877311,Pro,"Thank you, [PERSON_NAME]! It was an absolute pleasure. Hope to see you all again.",,Music Entertainment,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","Thank you, Maria! It was an absolute pleasure. Hope to see you all again.",0,29 days 02:37:55.199180000,29.0,698.63,False,1,0
4615,62703795,,2018-07-05 20:24:12.673754,Pro,hello are you still intersted,,Personal Training,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},hello are you still intersted,1,230 days 22:35:09.377245000,230.0,5542.59,False,1,0
5667,58329817,,2017-07-04 04:00:07.451826,Pro,"Hi [PERSON_NAME],

I'd really appreciate you taking a few minutes to write a review of my work that I can include on my Thumbtack profile. Reviews are important because they help me get new customers.

Thanks in advance!",,Guitar Lessons,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","Hi Vanessa,

I'd really appreciate you taking a few minutes to write a review of my work that I can include on my Thumbtack profile. Reviews are important because they help me get new customers.

Thanks in advance!",0,47 days 12:18:27.388114000,47.0,1140.31,False,1,0
7766,60809033,,2017-07-01 00:43:41.480093,Pro,Hi [PERSON_NAME]: I can meet at 11:30 on Sunday. I live in [LOCATION]... any suggestions where to meet? I am thinking a starbucks kind of place...somewhere between us....let me know. You certainly can call me at [PHONE_NUMBER] to set up a place. thanks much. joanne,,Resume Writing,"{'Scheduling - Meeting or Job', 'Location', 'Contact Information', 'null_value'}","{'Scheduling - Meeting or Job', 'Location', 'Contact Information', 'null_value'}","{'Scheduling - Meeting or Job', 'Location', 'Contact Information', 'null_value'}","{'Location', 'Scheduling - Meeting or Job', 'Contact Information'}","{'Location', 'Scheduling - Meeting or Job', 'Contact Information'}",Hi Lori: I can meet at 11:30 on Sunday. I live in Novi... any suggestions where to meet? I am thinking a starbucks kind of place...somewhere between us....let me know. You certainly can call me at 248-534-7238 to set up a place. thanks much. joanne,0,14 days 09:19:17.792961000,14.0,345.32,False,1,0
5749,58398277,,2017-06-26 15:31:53.571573,Pro,Hi [PERSON_NAME] - would you mind taking a moment to review me on Thumbtack? You can leave a review by following this link: https://www.thumbtack.com/reviews/bids/p41sgqa4/write?from_messenger=1,,House Cleaning,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Hire'}",{'null_value'},{'Hire'},"{'Confirmation - Meeting', 'Hire'}",Hi Christine - would you mind taking a moment to review me on Thumbtack? You can leave a review by following this link: https://www.thumbtack.com/reviews/bids/p41sgqa4/write?from_messenger=1,0,46 days 18:14:08.795366000,46.0,1122.24,False,1,0
8329,61655962,,2017-08-30 03:02:23.099501,Pro,"[PERSON_NAME],
I'd like to ask if you would t mind leaving a review here for me on Thumbtack.
These reviews have been a huge part of our continued growth and expansion.
Thank you in advance and have a great day.",,Pressure Washing,"{'null_value', 'Confirmation - Meeting', 'Hire'}",{'null_value'},"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","Hello Neil,
I'd like to ask if you would t mind leaving a review here for me on Thumbtack.
These reviews have been a huge part of our continued growth and expansion.
Thank you in advance and have a great day.",0,63 days 01:55:59.829647000,63.0,1513.93,False,1,0
652,58144197,,2017-06-14 15:50:27.055194,Customer,"Hi, I just wanted to follow up and make sure that you/your team is coming on Friday.",,House Cleaning,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Hire'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up', 'null_value'}","{'Scheduling - Meeting or Job', 'Follow-up'}","{'Scheduling - Meeting or Job', 'Follow-up', 'Hire'}","Hi, I just wanted to follow up and make sure that you/your team is coming on Friday.",1,15 days 00:31:40.600875000,15.0,360.53,False,1,1
11808,59362322,,2017-12-01 03:19:31.550235,Pro,"Hi [PERSON_NAME],

You previously posted a request on Thumbtack for services.  Although I was not selected at that time to provide those services, please know that I am still available should the need arise for additional work.  I am a Top Pro with Thumbtack, maintaining a five-star rating based on the quality of work I provide, my ability to communicate well with my clients, and transparency in the process.

Please stop by my website, see the type of work I do.  Should you need my services in the future, I hope you will give me a call, or you may use the Request a Quote form on my website, ingenuitihomeimprovement.com/requestquote/.  

Thank you again.

All the best,

[PERSON_NAME]
Ingenuiti, Inc
Home Improvement
[PHONE_NUMBER]
ingenuitihomeimprovement.com",,Lighting Installation,"{'null_value', 'Follow-up', 'Contact Information', 'Job Details'}","{'Follow-up', 'null_value'}","{'null_value', 'Follow-up', 'Contact Information'}","{'Follow-up', 'Contact Information'}","{'Job Details', 'Follow-up', 'Contact Information'}","Hi Mark,

You previously posted a request on Thumbtack for services.  Although I was not selected at that time to provide those services, please know that I am still available should the need arise for additional work.  I am a Top Pro with Thumbtack, maintaining a five-star rating based on the quality of work I provide, my ability to communicate well with my clients, and transparency in the process.

Please stop by my website, see the type of work I do.  Should you need my services in the future, I hope you will give me a call, or you may use the Request a Quote form on my website, ingenuitihomeimprovement.com/requestquote/.  

Thank you again.

All the best,

Kelly Knight
Ingenuiti, Inc
Home Improvement
208-403-1191
ingenuitihomeimprovement.com",1,177 days 03:50:32.534261000,177.0,4251.84,False,1,0
3483,61479040,,2017-07-25 20:17:30.482499,Pro,Hi holly! Just following up with you! :),,Wedding and Event Hair Styling,"{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}","{'Follow-up', 'null_value'}",{'Follow-up'},{'Follow-up'},Hi holly! Just following up with you! :) ,1,26 days 06:34:08.247295000,26.0,630.57,False,1,1
4804,62921363,,2017-08-08 17:34:28.352992,Customer,"Are you still available? 
What all is included in you quote?",,Wedding and Event Catering,"{'Scheduling - Meeting or Job', 'Follow-up', 'null_value', 'Price'}","{'Scheduling - Meeting or Job', 'Price', 'null_value'}","{'Scheduling - Meeting or Job', 'Price', 'null_value', 'Job Details'}","{'Scheduling - Meeting or Job', 'Price'}","{'Job Details', 'Scheduling - Meeting or Job', 'Price', 'Follow-up'}","Are you still available? 
What all is included in you quote?",0,20 days 05:36:30.074601000,20.0,485.61,False,1,0
10877,58277896,,2017-10-15 07:00:08.964276,Pro,"Hi [PERSON_NAME],

This is [PERSON_NAME] your disc jockey. [PERSON_NAME] and I would really appreciate you taking a moment to write a review of my work that can be included on our Thumbtack profile. Reviews are important because they help us get new customers.

Thanks in advance!",,DJ,"{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'null_value', 'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","{'Confirmation - Meeting', 'Hire'}","Hi Kathie,

This is Enda your disc jockey. Chuck and I would really appreciate you taking a moment to write a review of my work that can be included on our Thumbtack profile. Reviews are important because they help us get new customers.

Thanks in advance!",0,145 days 13:17:36.032174000,145.0,3493.29,False,1,0
